sample,wavelength,reflectance
Pine Bark,2051.5,0.33373693
HDPE_film,2051.5,8.784413
PVC,2051.5,1.0633068
sycamore bark,2051.5,0.3809272
HDPE_bottle,2051.5,7.2435646
HetArb_spec,2051.5,0.10965533
Kaolinite,2052.2,0.5052009
Montmorillonite,2052.2,0.50161636
Saponite,2052.2,0.4497731
Hectorite,2052.2,0.41433707
Sepiolite,2052.2,0.44026685
Magnesite,2052.2,0.58693606
Vermiculite,2052.2,0.7568254
Bentonite,2052.2,0.2055882
Buddingtonite,2052.2,0.44782445
maple,2052.2,0.15669067
Fresh Pine Needles,2052.2,0.0680852
Brown Pine Needles,2052.2,0.14819482
Dried Green Needles,2052.2,0.16706853
"Oak leaf, scenesced",2052.2,0.32377297
"Oak leaf, one year old",2052.2,0.1638487
CerCis_spec,2052.2,0.17490461
EucGlo_NPV_spec,2052.2,0.4635884
CorSel_NPV_spec,2052.2,0.66667336
HetArb_NPV_spec,2052.2,0.3119448
EucGlo_spec,2052.2,0.14276284
CorSel_spec,2052.2,0.24868105
"Oak leaf, new growth",2052.2,0.1593997
polysterene,2052.2,2.1119936
Pine Bark,2052.2,0.33316973
HDPE_film,2052.2,8.778132
PVC,2052.2,1.06264
sycamore bark,2052.2,0.3804458
HDPE_bottle,2052.2,7.2309937
HetArb_spec,2052.2,0.109917186
Kaolinite,2052.9,0.504986
Montmorillonite,2052.9,0.5021553
Saponite,2052.9,0.45023808
Hectorite,2052.9,0.41463733
Sepiolite,2052.9,0.44067156
Magnesite,2052.9,0.58723444
Vermiculite,2052.9,0.75826204
Bentonite,2052.9,0.2059972
Buddingtonite,2052.9,0.44806972
maple,2052.9,0.15727672
Fresh Pine Needles,2052.9,0.06818011
Brown Pine Needles,2052.9,0.14777552
Dried Green Needles,2052.9,0.16672586
"Oak leaf, scenesced",2052.9,0.32324994
"Oak leaf, one year old",2052.9,0.16410024
CerCis_spec,2052.9,0.17558032
EucGlo_NPV_spec,2052.9,0.46265757
CorSel_NPV_spec,2052.9,0.6647217
HetArb_NPV_spec,2052.9,0.3113192
EucGlo_spec,2052.9,0.14300236
CorSel_spec,2052.9,0.24928127
"Oak leaf, new growth",2052.9,0.15962097
polysterene,2052.9,2.112131
Pine Bark,2052.9,0.33260608
HDPE_film,2052.9,8.773238
PVC,2052.9,1.0617666
sycamore bark,2052.9,0.379922
HDPE_bottle,2052.9,7.2243533
HetArb_spec,2052.9,0.11019327
Kaolinite,2053.6,0.504723
Montmorillonite,2053.6,0.5027257
Saponite,2053.6,0.4507876
Hectorite,2053.6,0.41486558
Sepiolite,2053.6,0.4410921
Magnesite,2053.6,0.5875682
Vermiculite,2053.6,0.7604145
