sample,wavelength,reflectance
Magnesite,2069,0.58481354
Vermiculite,2069,0.77844673
Maple Leaf,2069,0.17138198
"Oak leaf, scenesced",2069,0.31089824
"Oak leaf, one year old",2069,0.17142835
"Oak leaf, new growth",2069,0.16694969
Polysterene,2069,0.21705432
HDPE film,2069,0.8729403
PVC,2069,0.10667778
HDPE bottle,2069,0.68503413
Saponite,2069.7,0.45625862
Hectorite,2069.7,0.41811794
Sepiolite,2069.7,0.44520786
Magnesite,2069.7,0.5845582
Vermiculite,2069.7,0.7789332
Maple Leaf,2069.7,0.17200278
"Oak leaf, scenesced",2069.7,0.31044012
"Oak leaf, one year old",2069.7,0.17166655
"Oak leaf, new growth",2069.7,0.16726099
Polysterene,2069.7,0.21725905
HDPE film,2069.7,0.8728024
PVC,2069.7,0.10678196
HDPE bottle,2069.7,0.6818773
Saponite,2070.4,0.45636186
Hectorite,2070.4,0.41827592
Sepiolite,2070.4,0.44541875
Magnesite,2070.4,0.5842833
Vermiculite,2070.4,0.77935
Maple Leaf,2070.4,0.17260955
"Oak leaf, scenesced",2070.4,0.31001398
"Oak leaf, one year old",2070.4,0.17190845
"Oak leaf, new growth",2070.4,0.16760126
Polysterene,2070.4,0.21745803
HDPE film,2070.4,0.8727965
PVC,2070.4,0.10687459
HDPE bottle,2070.4,0.67885838
Saponite,2071.1,0.4565158
Hectorite,2071.1,0.4184823
Sepiolite,2071.1,0.445645
Magnesite,2071.1,0.58397067
Vermiculite,2071.1,0.78004646
Maple Leaf,2071.1,0.17322595
"Oak leaf, scenesced",2071.1,0.30964893
"Oak leaf, one year old",2071.1,0.17218457
"Oak leaf, new growth",2071.1,0.16794418
Polysterene,2071.1,0.2176747
HDPE film,2071.1,0.8729978
PVC,2071.1,0.10696179
HDPE bottle,2071.1,0.6760229
Saponite,2071.8,0.4566912
Hectorite,2071.8,0.41869617
Sepiolite,2071.8,0.44589528
Magnesite,2071.8,0.5836214
Vermiculite,2071.8,0.7813218
Maple Leaf,2071.8,0.17386085
"Oak leaf, scenesced",2071.8,0.30931494
"Oak leaf, one year old",2071.8,0.1725033
"Oak leaf, new growth",2071.8,0.16820066
Polysterene,2071.8,0.2179206
HDPE film,2071.8,0.8734263
PVC,2071.8,0.10705677
HDPE bottle,2071.8,0.67328696
Saponite,2072.5,0.45683435
Hectorite,2072.5,0.41886684
Sepiolite,2072.5,0.4461503
Magnesite,2072.5,0.58322936
Vermiculite,2072.5,0.78317475
Maple Leaf,2072.5,0.17451078
"Oak leaf, scenesced",2072.5,0.30897564
"Oak leaf, one year old",2072.5,0.17284432
"Oak leaf, new growth",2072.5,0.1683853
Polysterene,2072.5,0.21814184
HDPE film,2072.5,0.8737594
PVC,2072.5,0.10716007
HDPE bottle,2072.5,0.6704469
Saponite,2073.2,0.45691025
Hectorite,2073.2,0.41901234
Sepiolite,2073.2,0.44636238
Magnesite,2073.2,0.5828034
Vermiculite,2073.2,0.7853044
Maple Leaf,2073.2,0.17516169
"Oak leaf, scenesced",2073.2,0.30860606
"Oak leaf, one year old",2073.2,0.17320919
"Oak leaf, new growth",2073.2,0.16853926
Polysterene,2073.2,0.21831594
HDPE film,2073.2,0.8739468
PVC,2073.2,0.10726866
HDPE bottle,2073.2,0.6674378
Saponite,2073.9,0.45690694
Hectorite,2073.9,0.41918522
Sepiolite,2073.9,0.44647205
Magnesite,2073.9,0.5823426
Vermiculite,2073.9,0.7872448
Maple Leaf,2073.9,0.17578867
"Oak leaf, scenesced",2073.9,0.30824718
"Oak leaf, one year old",2073.9,0.17359222
"Oak leaf, new growth",2073.9,0.16874292
Polysterene,2073.9,0.2184311
HDPE film,2073.9,0.8738431
PVC,2073.9,0.1073619
HDPE bottle,2073.9,0.66432476
Saponite,2074.6,0.45684704
Hectorite,2074.6,0.41941702
Sepiolite,2074.6,0.44646987
Magnesite,2074.6,0.5818448
Vermiculite,2074.6,0.7886323
Maple Leaf,2074.6,0.17637862
"Oak leaf, scenesced",2074.6,0.30791843
"Oak leaf, one year old",2074.6,0.17395791
"Oak leaf, new growth",2074.6,0.16902436
Polysterene,2074.6,0.21854808
HDPE film,2074.6,0.8737477
PVC,2074.6,0.10743048
HDPE bottle,2074.6,0.66136055
Saponite,2075.3,0.4567763
Hectorite,2075.3,0.41968882
Sepiolite,2075.3,0.44641224
Magnesite,2075.3,0.58131635
Vermiculite,2075.3,0.7893919
Maple Leaf,2075.3,0.17695443
"Oak leaf, scenesced",2075.3,0.3076353
"Oak leaf, one year old",2075.3,0.17428495
"Oak leaf, new growth",2075.3,0.16935427
Polysterene,2075.3,0.21870937
HDPE film,2075.3,0.8738625
PVC,2075.3,0.10747212
HDPE bottle,2075.3,0.65876207
Saponite,2076,0.4567271
Hectorite,2076,0.41997346
Sepiolite,2076,0.446391
Magnesite,2076,0.580787
Vermiculite,2076,0.7898073
Maple Leaf,2076,0.17754166
"Oak leaf, scenesced",2076,0.3073602
"Oak leaf, one year old",2076,0.17455456
"Oak leaf, new growth",2076,0.16966055
Polysterene,2076,0.21893988
HDPE film,2076,0.8744411
PVC,2076,0.10750148
HDPE bottle,2076,0.65651746
Saponite,2076.7,0.45668024
Hectorite,2076.7,0.42022637
Sepiolite,2076.7,0.4464579
Magnesite,2076.7,0.5802634
Vermiculite,2076.7,0.7901967
Maple Leaf,2076.7,0.1781472
"Oak leaf, scenesced",2076.7,0.3070481
"Oak leaf, one year old",2076.7,0.17477812
"Oak leaf, new growth",2076.7,0.16995017
Polysterene,2076.7,0.21920555
HDPE film,2076.7,0.8752826
PVC,2076.7,0.10753766
HDPE bottle,2076.7,0.65442266
Saponite,2077.4,0.45660365
Hectorite,2077.4,0.4204195
Sepiolite,2077.4,0.44661742
Magnesite,2077.4,0.5797398
Vermiculite,2077.4,0.7906538
Maple Leaf,2077.4,0.17876485
"Oak leaf, scenesced",2077.4,0.30667138
"Oak leaf, one year old",2077.4,0.17499949
"Oak leaf, new growth",2077.4,0.17026311
Polysterene,2077.4,0.21949723
HDPE film,2077.4,0.8763483
PVC,2077.4,0.1076002
HDPE bottle,2077.4,0.6523305
Saponite,2078.1,0.45645702
Hectorite,2078.1,0.42053363
Sepiolite,2078.1,0.4468262
Magnesite,2078.1,0.5791915
Vermiculite,2078.1,0.79099643
Maple Leaf,2078.1,0.17938927
"Oak leaf, scenesced",2078.1,0.30626836
"Oak leaf, one year old",2078.1,0.17529328
"Oak leaf, new growth",2078.1,0.17062452
Polysterene,2078.1,0.21976836
HDPE film,2078.1,0.877283
PVC,2078.1,0.10767726
HDPE bottle,2078.1,0.6501545
Saponite,2078.8,0.45623532
Hectorite,2078.8,0.42056233
Sepiolite,2078.8,0.44705528
Magnesite,2078.8,0.5786124
Vermiculite,2078.8,0.7910689
Maple Leaf,2078.8,0.18001874
"Oak leaf, scenesced",2078.8,0.3058485
"Oak leaf, one year old",2078.8,0.17565481
"Oak leaf, new growth",2078.8,0.17103525
Polysterene,2078.8,0.2200214
HDPE film,2078.8,0.878133
PVC,2078.8,0.10774758
HDPE bottle,2078.8,0.64788413
Saponite,2079.5,0.45595872
Hectorite,2079.5,0.42052808
Sepiolite,2079.5,0.44729123
Magnesite,2079.5,0.5780182
Vermiculite,2079.5,0.7908594
Maple Leaf,2079.5,0.18066509
"Oak leaf, scenesced",2079.5,0.3054154
"Oak leaf, one year old",2079.5,0.17604229
"Oak leaf, new growth",2079.5,0.17146622
Polysterene,2079.5,0.22024186
HDPE film,2079.5,0.87892
PVC,2079.5,0.10779924
HDPE bottle,2079.5,0.64556117
Saponite,2080.2,0.4556576
Hectorite,2080.2,0.42052248
Sepiolite,2080.2,0.44753695
Magnesite,2080.2,0.57745004
Vermiculite,2080.2,0.79051846
Maple Leaf,2080.2,0.18132786
"Oak leaf, scenesced",2080.2,0.30495062
"Oak leaf, one year old",2080.2,0.17639445
"Oak leaf, new growth",2080.2,0.17186074
Polysterene,2080.2,0.22044454
HDPE film,2080.2,0.879906
PVC,2080.2,0.10784652
HDPE bottle,2080.2,0.6433258
Saponite,2080.9,0.45530993
